24-03-2026 19:58:52 | POST | cafeteria-api/categorias
24-03-2026 20:00:36 | POST | cafeteria-api/categorias
24-03-2026 20:05:53 | POST | cafeteria-api/categorias
27-03-2026 17:50:23 | GET | cafeteria-api/categorias
27-03-2026 17:50:29 | GET | cafeteria-api/categorias
27-03-2026 19:29:39 | GET | cafeteria-api/categorias
27-03-2026 19:30:16 | GET | cafeteria-api/categorias
27-03-2026 19:31:48 | GET | cafeteria-api/categorias
27-03-2026 19:33:51 | GET | cafeteria-api/categorias
31-03-2026 14:38:59 | GET | cafeteria-api/categorias
31-03-2026 14:40:35 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:36 | GET | cafeteria-api/categorias
31-03-2026 14:40:54 | GET | cafeteria-api/categorias
31-03-2026 14:41:27 | GET | cafeteria-api/categorias
31-03-2026 15:00:10 | GET | cafeteria-api/categorias
31-03-2026 15:39:57 | GET | cafeteria-api/categorias
31-03-2026 15:40:13 | GET | cafeteria-api/categorias
31-03-2026 15:42:56 | GET | cafeteria-api/categorias
31-03-2026 19:24:36 | GET | cafeteria-api/produtos
31-03-2026 19:24:38 | GET | cafeteria-api/categorias
31-03-2026 19:24:48 | GET | cafeteria-api/produtos
07-04-2026 20:07:43 | GET | cafeteria-api/pedidos.php
07-04-2026 20:07:50 | OPTIONS | cafeteria-api/pedidos.php
07-04-2026 20:07:50 | POST | cafeteria-api/pedidos.php
07-04-2026 20:07:50 | GET | cafeteria-api/pedidos.php
07-04-2026 20:08:41 | GET | cafeteria-api/categorias
07-04-2026 20:08:46 | GET | cafeteria-api/pedidos.php
07-04-2026 20:10:17 | GET | cafeteria-api/pedidos.php
07-04-2026 20:10:22 | OPTIONS | cafeteria-api/pedidos.php
07-04-2026 20:10:22 | POST | cafeteria-api/pedidos.php
07-04-2026 20:10:22 | GET | cafeteria-api/pedidos.php
10-04-2026 13:55:24 | GET | cafeteria-api/categorias
10-04-2026 13:55:28 | GET | cafeteria-api/produtos
10-04-2026 13:55:28 | GET | cafeteria-api/categorias
10-04-2026 14:12:47 | GET | cafeteria-api/categorias
10-04-2026 14:12:47 | GET | cafeteria-api/produtos
10-04-2026 14:12:59 | GET | cafeteria-api/categorias
10-04-2026 14:13:19 | POST | cafeteria-api/categorias
10-04-2026 14:13:19 | GET | cafeteria-api/categorias
10-04-2026 14:13:22 | GET | cafeteria-api/produtos
10-04-2026 14:13:22 | GET | cafeteria-api/categorias
10-04-2026 14:14:35 | OPTIONS | cafeteria-api/produtos
10-04-2026 14:14:35 | POST | cafeteria-api/produtos
10-04-2026 14:14:36 | GET | cafeteria-api/produtos
10-04-2026 14:16:01 | GET | cafeteria-api/categorias
